Page / Section,Content Type,Current Placeholder Text,Client's Final Content,Done?
Process > Step 1,Sub-item 4,Budget discussion & guidance,,
Process > Step 2,Sub-item 1,Detailed architectural plans,,
Process > Step 2,Sub-item 2,Transparent upfront pricing — no hidden costs,,
Process > Step 2,Sub-item 3,Council approval management,,
Process > Step 2,Sub-item 4,Material selection & specifications,,
Process > Step 3,Sub-item 1,Experienced tradespeople & project management,,
Process > Step 3,Sub-item 2,Regular progress updates & site meetings,,
Process > Step 3,Sub-item 3,Quality assurance at every stage,,
Process > Step 3,Sub-item 4,On-time delivery commitment,,
Process > Step 4,Sub-item 1,Comprehensive quality inspection,,
Process > Step 4,Sub-item 2,Full walkthrough with client,,
Process > Step 4,Sub-item 3,Complete documentation & warranties,,
Process > Step 4,Sub-item 4,Ongoing support & aftercare,,
========== CONTACT PAGE ==========,,,,
Contact > Hero,Label,Get In Touch,,
Contact > Hero,Heading,Start Your Project,,
Contact > Hero,Description,Ready to build? Contact us for an obligation-free consultation and quote.,,
Contact > Form,Form Heading,Project Enquiry,,
Contact > Form,Success Heading,Thank You!,,
Contact > Form,Success Message,"We've received your enquiry and will be in touch within 24 hours. Looking forward to discussing your project.",,
Contact > Form,"Project Type Options (comma-separated)","Custom Home, Renovation, Extension, Granny Flat / Duplex, Commercial Fitout, Medical Centre, Childcare Centre, Other",,
Contact > Form,"Budget Options (comma-separated)","Under $200K, $200K – $500K, $500K – $1M, $1M – $2M, $2M+, Not Sure Yet",,
========== SERVICES (data.ts) ==========,,,,
Residential Service 1,Title,Custom Homes,,
Residential Service 1,Description,"From concept to completion, we design and build bespoke homes tailored to your lifestyle, site, and budget.",,
Residential Service 2,Title,Renovations,,
Residential Service 2,Description,"Transform your existing home with expertly managed renovations that enhance space, light, and value.",,
Residential Service 3,Title,Extensions,,
Residential Service 3,Description,Expand your living area with thoughtfully designed extensions that blend seamlessly with your home.,,
Residential Service 4,Title,Granny Flats & Duplex,,
Residential Service 4,Description,Maximise your property's potential with dual-occupancy builds and self-contained granny flats.,,
Residential Service 5,Title,Designer Homes,,
Residential Service 5,Description,"Premium architectural homes with exceptional finishes and cutting-edge design for the discerning homeowner.",,
Residential Service 6,Title,Units & Townhouses,,
Residential Service 6,Description,"Multi-dwelling developments built to the highest standards, maximising livability and return on investment.",,
Commercial Service 1,Title,Shop Fitouts,,
Commercial Service 1,Description,"Complete commercial fitout solutions for retail spaces, delivering on time and on budget.",,
Commercial Service 2,Title,Medical Centres,,
Commercial Service 2,Description,Specialist medical centre construction meeting all healthcare regulations and compliance requirements.,,
Commercial Service 3,Title,Childcare Centres,,
Commercial Service 3,Description,"Purpose-built childcare facilities designed for safety, functionality, and inspiring learning environments.",,
Commercial Service 4,Title,Commercial Buildings,,
Commercial Service 4,Description,"End-to-end commercial construction for offices, warehouses, and mixed-use developments.",,
========== TESTIMONIALS (data.ts) ==========,,,,
Testimonial 1,Client Name,Sarah & James Mitchell,,
Testimonial 1,Role / Project,Custom Home — Brisbane,,
Testimonial 1,Quote,"ARC Builders turned our dream into reality. Their attention to detail and transparent pricing made the entire process stress-free. We couldn't be happier with our new home.",,
Testimonial 2,Client Name,Michael Chen,,
Testimonial 2,Role / Project,Duplex Development — Logan,,
Testimonial 2,Quote,"Professional from start to finish. The team communicated clearly at every stage and delivered a quality duplex that exceeded our expectations. Highly recommended.",,
Testimonial 3,Client Name,Dr. Priya Sharma,,
Testimonial 3,Role / Project,Medical Centre — Brisbane South,,
Testimonial 3,Quote,"Building a medical centre has strict requirements. ARC Builders navigated every regulation with expertise and delivered a facility our patients love.",,
Testimonial 4,Client Name,David & Karen O'Brien,,
Testimonial 4,Role / Project,Renovation — Paddington,,
Testimonial 4,Quote,"Our heritage home needed careful hands. ARC understood the character of our Queenslander and delivered a stunning modern kitchen while respecting the original charm.",,
========== PROCESS STEPS (data.ts) ==========,,,,
Process Step 1,Title,Consultation,,
Process Step 1,Description,"We meet to understand your vision, requirements, and budget. We listen first, advise second, and always put your goals at the centre.",,
Process Step 2,Title,Planning & Design,,
Process Step 2,Description,"Our team develops detailed plans, provides transparent pricing upfront with no hidden costs, and manages all council approvals.",,
Process Step 3,Title,Construction,,
Process Step 3,Description,"Experienced tradespeople bring your project to life with meticulous craftsmanship, regular updates, and on-time delivery.",,
Process Step 4,Title,Completion & Handover,,
Process Step 4,Description,"A thorough quality inspection, walkthrough, and handover. We stand behind our work with comprehensive warranties.",,
========== PROJECTS (data.ts) ==========,,,,
Project 1,Title,The Riverview Residence,,
Project 1,Location,"Brisbane, QLD",,
Project 1,Type,custom-home,,
Project 1,Year,2025,,
Project 1,Scope,Full design & build — 4 bed 3 bath luxury home,,
Project 1,Description,"A stunning waterfront residence featuring floor-to-ceiling glass, open-plan living, and a seamless indoor-outdoor flow.",,
Project 1,Hero Image URL,(Unsplash placeholder — replace with real project photo),,
Project 1,Gallery Image URLs (comma-separated),(Unsplash placeholders — replace with real photos),,
Project 2,Title,Sunnybank Hills Modern,,
Project 2,Location,"Sunnybank Hills, QLD",,
Project 2,Type,custom-home,,
Project 2,Year,2024,,
Project 2,Scope,Custom double-storey home,,
Project 2,Description,"A contemporary double-storey home with clean lines, natural materials, and expansive living areas.",,
Project 2,Hero Image URL,(Unsplash placeholder),,
Project 2,Gallery Image URLs,(Unsplash placeholders),,
Project 3,Title,Greenfield Duplex,,
Project 3,Location,"Logan, QLD",,
Project 3,Type,duplex,,
Project 3,Year,2024,,
Project 3,Scope,Dual occupancy duplex,,
Project 3,Description,"A thoughtfully designed dual-occupancy duplex that maximises space and returns.",,
Project 3,Hero Image URL,(Unsplash placeholder),,
Project 3,Gallery Image URLs,(Unsplash placeholders),,
Project 4,Title,Heritage Kitchen Renovation,,
Project 4,Location,"Paddington, QLD",,
Project 4,Type,renovation,,
Project 4,Year,2023,,
Project 4,Scope,Heritage kitchen & bathroom renovation,,
Project 4,Description,"A sensitive renovation of a heritage Queenslander, blending period character with contemporary design.",,
Project 4,Hero Image URL,(Unsplash placeholder),,
Project 4,Gallery Image URLs,(Unsplash placeholders),,
Project 5,Title,Southside Medical Centre,,
Project 5,Location,"Brisbane South, QLD",,
Project 5,Type,commercial,,
Project 5,Year,2024,,
Project 5,Scope,Full commercial fitout — medical centre,,
Project 5,Description,"A state-of-the-art medical centre built to strict healthcare regulations.",,
Project 5,Hero Image URL,(Unsplash placeholder),,
Project 5,Gallery Image URLs,(Unsplash placeholders),,
Project 6,Title,Garden Extension Retreat,,
Project 6,Location,"Mount Gravatt, QLD",,
Project 6,Type,extension,,
Project 6,Year,2023,,
Project 6,Scope,Rear extension with granny flat,,
Project 6,Description,"A seamless rear extension that doubled the living space of an existing family home.",,
Project 6,Hero Image URL,(Unsplash placeholder),,
Project 6,Gallery Image URLs,(Unsplash placeholders),,
========== BLOG POSTS (data.ts) ==========,,,,
Blog Post 1,Title,Vastu-Compliant Home Design in Australia: A Complete Guide,,
Blog Post 1,Excerpt,(see website for current text),,
Blog Post 1,Category,Vastu & Design,,
Blog Post 1,Full Article Content,(see website — long-form content),,
Blog Post 2,Title,Building a Multi-Generational Home in Queensland,,
Blog Post 2,Excerpt,(see website for current text),,
Blog Post 2,Category,Family Living,,
Blog Post 2,Full Article Content,(see website — long-form content),,
Blog Post 3,Title,Understanding the Building Process: What to Expect,,
Blog Post 3,Excerpt,(see website for current text),,
Blog Post 3,Category,Building Process,,
Blog Post 3,Full Article Content,(see website — long-form content),,
Blog Post 4,Title,NRI Property Investment: Building Your Dream Home in Australia,,
Blog Post 4,Excerpt,(see website for current text),,
Blog Post 4,Category,Investment,,
Blog Post 4,Full Article Content,(see website — long-form content),,
Blog Post 5,Title,Vastu Kitchen Design for Indian-Australian Homes,,
Blog Post 5,Excerpt,(see website for current text),,
Blog Post 5,Category,Vastu & Design,,
Blog Post 5,Full Article Content,(see website — long-form content),,
Blog Post 6,Title,Why Transparent Pricing Matters: The Hidden Costs Most Builders Won't Tell You,,
Blog Post 6,Excerpt,(see website for current text),,
Blog Post 6,Category,Industry Insights,,
Blog Post 6,Full Article Content,(see website — long-form content),,
========== IMAGES TO REPLACE ==========,,,,
Images,Hero Background,(Unsplash placeholder — need real hero image/video),,
Images,About Section Photo,(Unsplash placeholder — need real team photo),,
Images,CTA Section Background,(Unsplash placeholder — need real project photo),,
Images,Project 1 Photos,(Unsplash placeholders — need real project photos),,
Images,Project 2 Photos,(Unsplash placeholders — need real project photos),,
Images,Project 3 Photos,(Unsplash placeholders — need real project photos),,
Images,Project 4 Photos,(Unsplash placeholders — need real project photos),,
Images,Project 5 Photos,(Unsplash placeholders — need real project photos),,
Images,Project 6 Photos,(Unsplash placeholders — need real project photos),,
Images,Blog Post Hero Images,(Unsplash placeholders — need real or relevant images),,
Images,Logo,(Need to create — see logo prompt),,
Images,Favicon,(Need to create — see favicon prompt),,
========== FOOTER ==========,,,,
Footer,Description,Transforming plans into quality residential and commercial buildings across Queensland.,,
Footer,Services List,"Custom Homes, Renovations, Extensions, Granny Flats, Shop Fitouts, Medical Centres",,
Footer,QBCC Badge Label,QBCC Licensed Builder,,
